字段1,字段1链接,字段2,详情标题,字段3,字段4
河南：全力做好迎峰度冬电力保障供应,https://www.cctd.com.cn/show-19-230092-1.html,2023-01-03,河南：全力做好迎峰度冬电力保障供应,"来源：国家能源局河南监管办公室
					
					发布时间：2023-01-03 09:15:15
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","国家能源局河南监管办公室消息，进入冬季以来，河南全省气温下降，采暖负荷持续增加，随着疫情防控政策优化调整，全社会用电负荷和用电量稳步增大。 
　　统计分析，12月以来，全省用电负荷最大增加到5406万千瓦，较去年同期增长600万千瓦，用电量同比增长约14.5%，发电量增加约18.3%。 
　　由于前期疫情、电煤采购运输以及电煤价格持续高企等综合因素影响，发电机组检修延期、非计划停运，以及煤质差、供热和设备临时故障等因素减发出力等问题比较突出，预测近期全省气温将维持在较低水平，全省电力安全稳定供应面临严峻形势。 
　　能源电力安全保供是经济社会稳定运行的基础保障，河南能源监管办切实提高政治站位，坚持底线思维，坚持问题导向，加强监督协调，采取各种措施保障经济社会发展和人民群众满意用能。 
　　针对火电机组并网运行问题，专题召开会议督导调度和发电企业强化机组检修和运行管理，加大机组顶峰能力测试，督导优化检修管理，提高设备运维管理水平，减少机组非计划停运和出力受阻，督导优化电网运行方式，强化跨省区电力支援调剂，保障电力供应。 
　　深化和完善“两个细则”考核管理和电力调峰辅助服务，加大考核补偿力度，利用市场机制促进机组提高顶峰发电能力，严格“以热定电”原则督导安排发电机组出力，全面保障电力热力安全稳定供应。 
　　针对近期郑州地区热力保障供应问题，督导调度机构和郑州3家供热电厂统筹优化机组出力，组织电科院等专家现场监测供热出力和压力等参数，沟通郑州市政府部门和热力公司全面做好热力供应。 
　　河南能源监管办坚持以电力保供责任担当和实际行动落实好党的二十大精神，持续履行电力保障供应监督责任，坚持问题导向和目标导向，强化电力供需监测分析，加大监督检查和工作协调，全力保障全省电力稳定可靠供应和人民群众安全温暖过冬。"
国家矿山安全监察局关于印发3项煤矿顶板管理规定的通知,https://www.cctd.com.cn/show-108-230091-1.html,2023-01-03,国家矿山安全监察局关于印发3项煤矿顶板管理规定的通知,"来源：国家矿山安全监察局
					
					发布时间：2023-01-03 09:12:58
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","国家矿山安全监察局关于印发《强化煤矿炮采（高档普采）工作面
顶板管理规定》等3项煤矿顶板管理规定的通知
矿安〔2022〕135号
 
各产煤省、自治区及新疆生产建设兵团煤矿安全监管部门、煤炭行业管理部门，国家矿山安全监察局各省级局，有关中央企业：
《强化煤矿炮采（高档普采）工作面顶板管理规定》《强化煤矿锚杆支护巷道顶板管理规定》《强化煤矿架棚巷道顶板管理规定》等3项煤矿顶板管理规定已经国家矿山安全监察局2022年第41次局务会议审议通过，现印发给你们，请认真贯彻执行。
国家矿山安全监察局
2022年12月13日
强化煤矿炮采（高档普采）工作面顶板管理规定
第一条  煤矿应当强化地质预测预报工作。在炮采（高档普采）工作面回采前，必须探查煤层及其顶底板岩性，查明直接顶、老顶结构和岩石物理力学参数，并按照破碎顶板、较稳定顶板、稳定顶板、坚硬顶板进行顶板分类，编制炮采（高档普采）工作面回采地质说明书并经煤矿总工程师审批。
第二条  煤矿应当根据顶板分类制定有针对性的措施。对于破碎顶板，应当重点防范推垮型冒顶事故；对于坚硬顶板，应当重点防范压垮型冒顶事故。炮采（高档普采）工作面初采时应当采取强制性放顶措施；在回采过程中，当悬顶面积达到或者超过作业规程规定时，应当停止回采，采取强制放顶措施切断悬空的顶板。开采倾角大于25°或者直接顶不稳定的煤层时，必须进行安全论证并制定安全技术措施，报煤矿上级公司技术负责人审批，煤矿无上级公司的，由矿长审批。
第三条  煤矿应当加强炮采（高档普采）工作面临时支护管理。针对工作面顶板的不同条件，在炮采工作面作业规程中明确一次起爆的范围，在高档普采工作面作业规程中明确临时支护距采煤机滚筒的最大距离。对新暴露的顶板应当及时进行临时支护，顶板破碎时应当将顶梁上方空隙塞紧、背实。
第四条  煤矿应当规范炮采（高档普采）工作面的控顶距管理，出煤后应当及时架设单体液压支柱。当工作面底板松软或者留有底煤时，应当采取支柱穿铁鞋等措施，严禁在浮煤或者浮矸上架设支柱。工作面达到最大控顶距离时，必须及时回柱，严禁在控顶区域内提前摘柱。
第五条  煤矿应当加强炮采（高档普采）工作面单体液压支柱的日常管理。支柱初撑力必须符合《煤矿安全规程》规定，达不到要求的，必须查明原因，及时进行处理，否则不得用于回采作业。当支柱承受的压力大于额定的工作阻力，支柱的安全阀频繁开启时，应当立即停止作业，查明原因，有针对性地采取措施，在确保安全后方可恢复作业。
第六条  煤矿应当加强炮采（高档普采）工作面支柱的防倒管理。作业规程应当明确所有单体液压支柱的防倒措施，当煤层倾角达到或者大于8°，架设单体液压支柱时应当设迎山角，支柱间应当采取刚性硬连接防倒措施。
第七条  煤矿必须加强炮采（高档普采）工作面安全出口管理，作业规程应当明确规定刮板输送机机头、机尾处的顶板支护方式，确保工作面两端头顶板处于安全可控状态。安全出口必须设专人维护。在安全出口与巷道连接处的超前压力影响范围内必须加强支护，加强支护的巷道长度不得小于20m，高度不得低于1.6m。发生支架断梁折柱、巷道底鼓变形时，必须及时更换、清挖。
第八条  煤矿应当规范炮采（高档普采）工作面支护材料管理。单体液压支柱入井前，必须逐根进行压力试验。严禁使用损坏或者失效的金属顶梁、单体液压支柱。在工作面回采结束或者金属顶梁和单体液压支柱使用时间超过8个月后，必须对金属顶梁和单体液压支柱进行检修并进行压力试验，试验合格后方可使用。生产过程中每班应当对支护材料的完好性进行检查，发现损坏、失效的当班必须及时更换。采煤工作面严禁使用木支柱（极薄煤层除外）和金属摩擦支柱支护。
第九条  煤矿应当加强炮采（高档普采）工作面矿压监测工作。作业规程应当明确规定矿压监测站的布置方式、观测周期等，并应用矿压监测的结果科学指导支护设计及初次来压、周期来压期间的顶板安全管理。
第十条  煤矿应当加强炮采（高档普采）工作面过断层、破碎带管理，采取超前治理的措施。在工作面过断层、破碎带前，应当根据需要从工作面的两巷超前对断层、破碎带进行打钻预注浆，改变断层、破碎带的物理力学性质，提高煤岩体的强度，防止过断层、破碎带时发生片帮、冒顶。工作面过老空区、报废巷道，初次放顶、收作期间必须编制专项安全技术措施，由煤矿总工程师组织审批。
第十一条  本规定自印发之日起施行。
强化煤矿锚杆支护巷道顶板管理规定
第一条  煤矿应当强化地质预测预报工作。在掘进工作面开掘前，必须查明掘进巷道及周边地质构造、岩浆岩体、陷落柱、煤层及其顶底板岩性、煤（岩）与瓦斯（二氧化碳）突出危险区、受水威胁区、技术边界、采空区、地质钻孔等情况，编制掘进地质说明书并经煤矿总工程师审批。
第二条  煤矿在编制锚杆支护设计前，必须由煤矿总工程师组织开展现场调查和围岩地质力学评估，探明围岩结构，测定岩石物理力学参数，并进行围岩分类，确定重点管理类别。
第三条  煤矿应当优先在卸压区内布置巷道，避免巷道处于采动应力影响区和应力集中区。
煤矿应当坚持“一巷一设计”原则，在巷道围岩地质力学评估的基础上，采用工程类比、理论计算等相结合的方法进行锚杆支护设计。锚杆支护设计应当对锚杆（索）的形式、规格、安设角度和锚杆拉拔力、锚索预紧力作出明确规定。锚杆支护设计的支护强度必须满足对应的围岩条件，确保“支得住、支得牢”。锚杆支护设计应当由煤矿总工程师组织生产技术、地质、掘进等部门进行会审，并将主要技术参数编入作业规程。采（盘）区各煤层首次采用锚杆支护的煤巷，锚杆支护设计应当经煤矿上级公司技术负责人组织审批后实施，煤矿无上级公司的，由矿长审批。
第四条  煤矿应当加强施工过程管控。巷道掘进过程中应当及时进行支护，尽量减小空顶距、缩短空顶时间，空顶距、空顶时间应当根据顶板岩性在作业规程中作出明确规定。安装锚杆、锚索时，必须严格按照锚杆支护设计和作业规程组织施工，严禁截短锚杆（索）或者减少锚固剂、必须有临时支护措施，严禁空顶作业。锚杆拉拔力、锚索预紧力必须符合锚杆支护设计和作业规程要求。井下进行锚固力试验时，必须制定安全措施。巷道掘进过程中应当实行锚杆逐排、锚索逐根编号管理，建立“班组自检”“区队日检”和“矿井抽检”三级质检制度。
第五条  煤矿应当在巷道掘进过程中对顶板的结构及岩性变化情况及时进行观测，详细记录顶板岩性观测情况，编制顶板探查孔岩性柱状图，并根据顶板结构、岩性变化情况及时修改设计。
第六条  煤矿应当对锚杆支护巷道进行顶板离层、围岩表面位移、锚杆（索）载荷监测；煤巷应当优先采用在线矿压监测。在线矿压监测系统必须设置临界值及预警值，具体数值及响应标准由煤矿上级公司技术负责人确定，煤矿无上级公司的，由矿长组织研究后确定。煤矿应当建立监测记录台账，每班记录监测结果，并在现场牌板上予以注明。煤矿必须对应力集中区、断层、破碎带、大面积淋水及采动应力影响段等特殊区段加密测点、加强观测，具体措施由煤矿总工程师确定。煤矿必须对监测的数据进行科学分析，指导修订初始支护设计，及时发布安全预警、保护现场作业人员安全。巷道出现断锚、断索、断丝现象时，必须查明原因，及时采取措施。
第七条  煤矿应当强化特殊地段支护。遇顶板破碎、淋水区，过断层、老空区、高应力区，大倾角、大断面、交岔点等特殊地段，应当编制专门的支护设计与技术措施。在采动应力影响范围内掘进时，受影响区域内的巷道必须采用架棚、单体液压支柱补强或者注浆加固等加强支护措施，加强支护范围应当至少向正常地段延伸5m。对地应力和采动应力影响严重区域，必须制定防止锚杆（索）崩断、断丝、坠落伤人等措施。
第八条  煤矿在断层、破碎带布置巷道时，应当采取超前治理措施，根据需要进行超前注浆加固，改变断层、破碎带煤岩体物理力学性质，防止掘进过程中出现片帮、冒顶。
第九条  煤矿选用的锚杆支护材料必须符合保障安全生产的国家标准和相应行业标准，并具有产品合格证，严禁使用未取得安全标志的锚杆（索）（含杆体、锚固剂）。
第十条  煤矿应当建立巷道定期巡查制度，定期对服务年限超过2年的锚杆支护巷道开展巡查，及时处理查出的事故隐患，消除安全威胁。煤矿应当建立巡查档案，对检查的地段、查出的事故隐患、整改措施及措施落实情况作好记录并归档。
第十一条  本规定自印发之日起施行。
强化煤矿架棚巷道顶板管理规定
第一条  煤矿应当强化地质预测预报工作。在掘进工作面开掘前，必须查明掘进巷道及周边地质构造、岩浆岩体、陷落柱、煤层及其顶底板岩性、煤（岩）与瓦斯（二氧化碳）突出危险区、受水威胁区、技术边界、采空区、地质钻孔等情况，编制掘进地质说明书并经煤矿总工程师审批。
第二条  煤矿在编制架棚支护设计前，必须由煤矿总工程师组织开展现场调查和围岩地质力学评估，查明围岩结构，测定岩石物理力学参数，并进行围岩分类，确定重点管理类别。
第三条  煤矿采用U型钢可缩性支架支护巷道时，应当根据理论计算所需的支护强度，合理选择U型钢的型号，确定支架间距。
第四条  煤矿采用梯形棚支架支护巷道时，应当科学设计巷道断面，合理选择工字钢型号，确定支架间距，确保梯形棚支护能有效控制巷道围岩变形，并采用理论计算方法验证支架的支护强度是否满足对巷道围岩压力控制的要求。
第五条  煤矿在掘进期间，应当根据顶板条件变化，合理确定掘进循环进尺，尽量缩短空顶时间，严禁空顶作业。前探支护必须紧跟工作面迎头，数量不得少于两排，且具有足够的支护强度，支护强度、方式应当在作业规程中明确规定。
第六条  巷道架棚时，支架腿应当落在实底上，支架与顶、帮之间的空隙必须塞紧、背实。支架间应当设置牢固的撑杆或者拉杆，可缩性金属支架应当采用金属支拉杆，并用机械或者力矩扳手拧紧卡缆。倾斜井巷支架应当设迎山角，水平巷道支架的前倾或者后仰角度应当符合作业规程要求。可缩性金属支架可待受压变形稳定后喷射混凝土覆盖。在巷道掘进开口、施工交岔点处支护时，应当制定专项安全技术措施。
第七条  严格执行“敲帮问顶”及围岩观测制度。掘进工作面每班开工前，班组长必须对安全情况进行检查，确认无危险后，方可允许人员进入工作面。
第八条  煤矿采用爆破工艺掘进时，对距掘进工作面10m内的架棚支架，在爆破前应当进行加固。对被爆破崩倒、崩坏的支架，必须按照由外向里的顺序逐架进行修复，维修点以里严禁人员进入。
第九条  煤矿不得使用破损和不合格的支护材料，各种支架及其构件、配件的材质、规格应当符合支护设计要求。
第十条  煤矿在断层、破碎带布置巷道时，应当采取超前治理措施，根据需要进行超前注浆加固，改变断层、破碎带煤岩体物理力学性质，防止掘进过程中出现片帮、冒顶。
第十一条  本规定自印发之日起施行。"
天津港自2021年以来首次进口散装煤炭,https://www.cctd.com.cn/show-41-230090-1.html,2023-01-03,天津港自2021年以来首次进口散装煤炭,"来源：人民网
					
					发布时间：2023-01-03 09:10:11
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，装载3.8万吨进口散装焦煤的“哈丽尔”轮缓缓靠泊在天津港中煤华能煤码头有限公司泊位上，天津南疆海关关员手持智慧水尺计重平台，乘坐拖轮环绕船身的背面、侧面，依次进行六面水尺计重，随后，该批煤炭即可开始卸货。据了解，这是天津港自2021年以来首次进口散装煤炭。 
　　“这是企业近年来首次自天津口岸进口煤炭，海关的全程政策指导为货物的高效通关提供了很大帮助，也让我们持续开展煤炭进口业务的信心更足了。”广州钢铁集团有限股份公司业务经理刘钰说。 
　　为切实保障货物通关顺畅，天津南疆海关设立绿色通道，指派专人跟踪企业进口动态，做好进口煤炭政策咨询，指导企业综合用好提前申报、汇总征税等惠企政策，实现舱单“即通即报”、货物“即到即验”；“一船一策”开展个性化监管，根据商品原产国、类别开展研判，提前制定取样工作计划，拉紧取样、送检、出证等作业链条，确保卸货作业24小时不间断，进口商品快速投入使用；向科技要速度，将智慧水尺计重平台、音视频单兵系统等科技装备和手段引入监管领域，统筹“线上+线下”同步作业，提升监管效能，确保船舶靠泊离泊、货物装卸、场所存放等环节顺畅有序， 为企业生产原料供应链稳定保驾护航。"
市场供需双弱 沿海煤炭运价延续下降,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=576&id=230081,2022-12-30,,,
田庄选煤厂实现原煤入选1000万吨,https://www.cctd.com.cn/show-22-230080-1.html,2022-12-30,田庄选煤厂实现原煤入选1000万吨,"来源：中国煤炭市场网
					
					发布时间：2022-12-30 14:43:08
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","2022年12月27日，中国平煤神马集团田庄选煤厂实现原煤入选1000万吨，这是河南省第一家1000万吨的选煤厂，更是河南省唯一一家1000万吨的选煤厂。田庄选煤厂作为我国首座自行设计、施工建成的全重介选煤厂，建厂50多年来，始终在集团党政的正确领导下，以放大洗选优势、增加原煤附加值为己任，深入落实“大精煤”战略，全力打好煤泥减量化、技术装备改造组合拳，原煤入洗规模和精煤产量不断扩大，从年入洗原煤60万吨，提高到350万吨、再到800万吨、900万吨，直到一举跨入千万吨级大关，实现了一次又一次跨越式发展，为稳固煤焦产业“压舱石”地位、推动集团高质量转型发展做出了突出贡献。

　　站在新的历史起点，田庄选煤厂将以党的二十大精神为指引，以高质量发展为主题，牢牢把握“六个坚定”，奋力开创“六高”新局，持续弘扬“四个一”田选精神，锚定“三个三”发展定位，踔厉奋发，勇毅前行，向建成全国一流智慧化明星选煤厂持续奋进，为集团早日建成绿色创新领先的现代化“材”“能”企业做出新的更大贡献。（作者：付超魁）"
内蒙古公司：“满格”保供 筑牢经济发展承重墙,https://www.cctd.com.cn/show-22-230079-1.html,2022-12-30,内蒙古公司：“满格”保供 筑牢经济发展承重墙,"来源：中国煤炭市场网
					
					发布时间：2022-12-30 10:37:51
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","能源保供事关区域经济社会发展、民生稳定大局，特别是党的二十大精神的开局之年，“保供”二字意义重大。内蒙古公司通过准确研判区域经济、民生发展态势，以“夏保发电煤、冬保供暖煤”为能源保供总基调，构建区域煤炭产-运-销-储-用协同机制，在2023年开局之年以新气象新作为推动区域经济高质量发展。
　　该公司按照国家有关要求，第一时间成立专项工作组，组织开展中长期合同签订工作，目前签约数量已达到自有煤炭资源83%以上，最大程度保证发电、供热企业“满格”供应。为了进一步增强能源保供能力，该公司正在积极优化坑下作业条件，保障煤矿安全生产，争取煤矿核定产能尽早达到“满格”释放。另根据自有煤炭资源特点与各终端用户实际情况，通过应用智慧运销系统、坑下无人值守付煤系统等信息化手段，综合分析“两地五矿”生产和区域客户耗煤量实际情况，优化调整请车、装车节奏，克服在岗作业人员受限的困难，争取运力“满格”保障。同时着力发挥“煤-路-港”产业协同优势，通过以优质褐煤下水销售、自有铁路过轨运输等方式，力促公司存量资产“满格”流动，拓宽能源保供流向。
　　下一阶段，该公司将以“满格”保供为突破口，持续发挥产业协同优势，筑牢区域经济发展承重墙，以优异成绩，为党的二十大开局献礼。"
12月第三周陕西省煤炭均价微跌,https://www.cctd.com.cn/show-361-230077-1.html,2022-12-30,12月第三周陕西省煤炭均价微跌,"来源：陕西省商务厅
					
					发布时间：2022-12-30 09:41:04
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据商务部重要生产资料市场监测系统显示，12月17日至12月23日，陕西省煤炭均价1710.0元/吨，环比下跌0.2%。其中：烟煤1480.0元/吨，环比下跌0.1%；动力煤995.0元/吨，环比下跌0.3%。当前陕西煤炭产能受控，总体库存处于低位，供应缺乏弹性，带来煤炭价格上涨。预计后期陕西煤炭市场价格将呈微幅波动的态势运行。
12月第三周内蒙古煤炭价格环比下降,https://www.cctd.com.cn/show-361-230075-1.html,2022-12-30,12月第三周内蒙古煤炭价格环比下降,"来源：内蒙古自治区商务厅
					
					发布时间：2022-12-30 09:39:18
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","据内蒙古自治区商务厅生产资料市场监测系统数据显示：本周（12月17日-23日）从监测品种样本数据来看煤炭平均价格为903.87元/吨，与前一周比（下称环比）下降1.1%，与上年同期相比（下称同比）上涨4.3%。其中无烟煤2号洗选块煤均价为1060元/吨，环比下降1.2%，同比上涨1.5%；动力煤发热量5000-5500大卡均价为653.45元/吨，环比下降0.5%，同比上涨3.1%；炼焦煤1/3焦煤均价为998.17元/吨，环比下降1.2%，同比上涨8%。
　　内蒙古自治区商务厅表示，下游市场需求疲弱，交易活跃度低迷。成品油价格下降，储运成本减少，拉动煤炭价格环比下降。预计近期煤炭市场运行稳定，价格将涨跌震荡运行。"
2022年第52周湖南煤炭市场价格下跌0.3%,https://www.cctd.com.cn/show-361-230073-1.html,2022-12-30,2022年第52周湖南煤炭市场价格下跌0.3%,"来源：湖南省商务厅
					
					发布时间：2022-12-30 09:36:59
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","据湖南省商务厅对全省生产资料流通市场监测数据显示，2022年第52周（12月19日-25日），湖南省煤炭销售均价1254元/吨，较前一周下跌0.3%。其中，无烟煤销售均价1630元/吨，较前一周下跌0.2%；烟煤销售均价1066元/吨，较前一周下跌0.4%。
　　本周全省煤炭市场价格下跌，整体交投不活跃，煤价偏弱运行。煤炭价格下跌的主要原因，一是电煤落实中长期协议价格，煤价波动不大；二是非电煤供需双弱，煤价下行压力增加。对于煤炭价格后期走势，临近年末煤矿基本已完成了年度生产任务，在安全生产趋严以及疫情管控优化调整后感染人数明显上升的情况下，煤炭供应端增量有限，需求端采购不温不火，市场观望心理较浓，补库意识薄弱。预计下周全省煤炭市场价格将继续呈小幅下跌态势。"
11月广西煤炭价格小幅下降,https://www.cctd.com.cn/show-361-230071-1.html,2022-12-30,11月广西煤炭价格小幅下降,"来源：广西商务厅
					
					发布时间：2022-12-30 09:33:52
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","根据商务部重要生产资料市场监测系统显示，11月广西壮族自治区煤炭价格小幅下降。从样本监测数据来看，11月份全区煤炭均价为1520.75元/吨，环比下降1.9%。其中，无烟煤价格为1182元/吨，环比下降3.0%；烟煤平均价格为1690.13元/吨，环比下降1.5%。
　　广西商务厅表示，一方面，虽然11月下旬区内受到寒潮影响，气温出现断层式的下降，但是上中旬全区气温仍旧略高于往年均值，寒潮对电厂终端日耗带来的阶段性增量，不足以改变煤炭市场偏弱的趋势，市场成交情况未有明显好转；另一方面，企业对原料以按需采购为主，供需两淡，带来煤炭价格下跌。就近期全区气温维持在较低温度的情况来看，企业、家庭的供暖耗电量会有所上升，价格得到些许支撑，预计后期全区煤炭价格或将窄幅震荡运行。"
